query_index,query_title,query_label,rank,mismatch_image_index,mismatch_image_file,mismatch_image_title,mismatch_image_label
1,"Double Tape 3M VHB 12 mm x 4,5 m ORIGINAL / DOUBLE FOAM TAPE",2937985045,4,9800,49729413228d1f83bb2cb32739dedb32.jpg,3M Double Tape Foam 24 mm PE I Isolasi Solasi Bolak Balik Spon Busa 1600TG Daya Rekat Kuat Original,475342649
1,"Double Tape 3M VHB 12 mm x 4,5 m ORIGINAL / DOUBLE FOAM TAPE",2937985045,5,9801,49729413228d1f83bb2cb32739dedb32.jpg,3M Double Tape Foam 24 mm PEI Isolasi Solasi Bolak Balik Spon Busa 1600TG Daya Rekat Kuat Original,475342649
34245,Masker Bahan Kain Spunbond Non Woven 75 gsm 3 ply lapis Bisa Dicuci,3776555725,1,29535,dd43087feb475d3c4660b7b16b0c7103.jpg,Masker Sensi Duckbill pack isi 6 / Repack isi 5,3659553730
34245,Masker Bahan Kain Spunbond Non Woven 75 gsm 3 ply lapis Bisa Dicuci,3776555725,2,30962,e7e7e0a033a33c09001fc313af07ffec.jpg,MASKER SCUBA / MASKER KAIN SCUBA / MASKER SCUBA KOREA / EARLOOP MASK / MASKER SCUBA PREMIUM / MASKER,514101767
34245,Masker Bahan Kain Spunbond Non Woven 75 gsm 3 ply lapis Bisa Dicuci,3776555725,3,975,07ad2447c4f2ef115f7ad36e791dde4c.jpg,Masker Sensi Duckbill box isi 50pc,1860299582
34245,Masker Bahan Kain Spunbond Non Woven 75 gsm 3 ply lapis Bisa Dicuci,3776555725,4,26099,c34338d4b73fd97998ce874147941662.jpg,Masker Ateja Mask Kain Non Medis 3 Lapis / Ply Model Earloop Headloop Hijab Ukuran Dewasa Anak SNI,1219036414
34245,Masker Bahan Kain Spunbond Non Woven 75 gsm 3 ply lapis Bisa Dicuci,3776555725,5,23487,b065230c8f87288aad5d84b6fe3d7a56.jpg,BOSON Masker Hijab Headloop 3 Ply Isi 40 Pcs - Disposable Daily Mask,1868822738
3,Daster Batik Lengan pendek - Motif Acak / Campur - Leher Kancing (DPT001-00) Batik karakter Alhadi,4093212188,1,21400,a0b74670a120024c3afc03be1fa65c7d.jpg,Gorden Kolong Dapur / Gordeng kompor wastafel motif batik bunga shabby ( hordeng poni ),2355878351
3,Daster Batik Lengan pendek - Motif Acak / Campur - Leher Kancing (DPT001-00) Batik karakter Alhadi,4093212188,2,14593,6ddf4ccf051404177718c9afeaa44cc9.jpg,Sarung Batik Halus Motif Wayang Gunungan - Warna Kuning - Sarung Gus Azmi,1206055512
3,Daster Batik Lengan pendek - Motif Acak / Campur - Leher Kancing (DPT001-00) Batik karakter Alhadi,4093212188,3,26552,c6ba5bcb417c4ba97d316323ffbff06c.jpg,GUS Azmi / Sarung batik santri putri sarung gloyor tubanan,1206055512
3,Daster Batik Lengan pendek - Motif Acak / Campur - Leher Kancing (DPT001-00) Batik karakter Alhadi,4093212188,4,33326,f9683f46ea50b4730663587c8dbe4d73.jpg,GORDEN PEREKAT UKURAN 120X200 MOTIF MOON STAR,2783670538
3,Daster Batik Lengan pendek - Motif Acak / Campur - Leher Kancing (DPT001-00) Batik karakter Alhadi,4093212188,5,17561,843080ff4380fb71ceac1d127f64aaff.jpg,Sarung batik cap halus/ sarung batik gurdo / sarung batik hadroh sarung batik seno,1524439028
