posting_id,label_group,Precision@1,Recall@1,Precision@3,Recall@3,Precision@5,Recall@5,Precision@10,Recall@10,AP
train_3297816647,371502910,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
train_3122040273,1370343912,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
train_3921931335,2217827677,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
train_3453637142,2964440663,1.0,1.0,0.3333,0.3333,0.2,0.2,0.1,0.1667,0.1667
train_2281183509,1356633425,1.0,1.0,1.0,1.0,0.8,0.8,0.5,0.5,0.4205
train_615566263,1356633425,1.0,1.0,1.0,1.0,0.8,0.8,0.5,0.5,0.4205
train_3663748113,215542278,1.0,1.0,1.0,1.0,0.6,1.0,0.3,1.0,1.0
train_1398921910,215542278,1.0,1.0,1.0,1.0,0.6,1.0,0.3,1.0,1.0
train_3085463168,817306375,1.0,1.0,0.3333,1.0,0.2,1.0,0.1,1.0,1.0
train_2231906914,1199602251,1.0,1.0,0.3333,0.3333,0.2,0.3333,0.1,0.3333,0.3333
train_3241824372,196929574,1.0,1.0,1.0,1.0,0.8,0.8,0.4,0.5714,0.5714
train_1734882388,3489985175,1.0,1.0,0.3333,0.3333,0.2,0.2,0.1,0.1,0.025
train_3286978516,1561749110,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
train_1612784649,3580263851,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
train_2510999729,1702111919,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
train_3919593581,791476097,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
train_2010199669,2272723710,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
train_3884457980,3798328212,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
train_4211938281,358422381,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
train_2828504439,3810846799,1.0,1.0,0.3333,1.0,0.2,1.0,0.1,1.0,1.0
train_149323111,151221854,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
train_2666382378,1115565398,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.3333,0.0333
train_3589506283,4115604501,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
train_3043787667,3489985175,1.0,1.0,0.3333,0.3333,0.2,0.2,0.1,0.1,0.025
train_2437872381,1230151539,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
train_472067494,981370797,1.0,1.0,0.3333,0.3333,0.2,0.2,0.1,0.1667,0.1667
train_2962272674,1896239564,1.0,1.0,1.0,1.0,0.6,0.75,0.3,0.75,0.75
train_951314265,802602048,1.0,1.0,0.6667,0.6667,0.4,0.6667,0.2,0.6667,0.6667
train_2051205225,2669812524,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
train_2695183959,3362589702,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
train_2806016221,4141124289,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
train_1648139967,1065718333,1.0,1.0,1.0,1.0,0.8,1.0,0.4,1.0,1.0
train_4227549842,3580263851,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
train_4175229751,1141798720,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
train_2905859802,1341974351,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
train_711483468,1888280668,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
train_1733811555,3299126623,1.0,1.0,0.3333,0.5,0.2,0.5,0.1,0.5,0.5
train_1400779757,2410340130,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
train_3296206419,3113555311,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
train_2642949637,3381497963,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
train_3249862091,2702435837,1.0,1.0,0.3333,0.3333,0.2,0.2,0.2,0.4,0.2667
train_1368113489,813474569,1.0,1.0,0.3333,1.0,0.2,1.0,0.1,1.0,1.0
train_1889514443,1117850194,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
train_2871716249,1187614415,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
train_3879247647,1746655739,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
train_2930186018,1141798720,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
train_2856183961,3489985175,1.0,1.0,0.3333,0.3333,0.2,0.2,0.2,0.2,0.03
train_1420726013,3489985175,1.0,1.0,0.3333,0.3333,0.2,0.2,0.2,0.2,0.03
train_3464136823,3092822601,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
train_3377123715,1420214137,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
train_277615634,4136995606,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
train_2088327894,1773396944,1.0,1.0,0.3333,0.5,0.2,0.5,0.1,0.5,0.5
train_1648915230,1037925737,1.0,1.0,1.0,1.0,0.8,1.0,0.4,1.0,1.0
train_2500339995,1037925737,1.0,1.0,1.0,1.0,0.8,1.0,0.4,1.0,1.0
train_3977286900,1037925737,1.0,1.0,1.0,1.0,0.8,1.0,0.4,1.0,1.0
train_1641797816,1037925737,1.0,1.0,1.0,1.0,0.8,1.0,0.4,1.0,1.0
train_3582623500,3411023097,1.0,1.0,0.6667,1.0,0.4,1.0,0.2,1.0,1.0
train_3476473016,3411023097,1.0,1.0,0.6667,1.0,0.4,1.0,0.2,1.0,1.0
train_1457705588,353738643,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
train_3706564646,3624714500,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
train_533166742,2033752485,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
train_1012209986,1900185622,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
train_3139371939,1250572627,1.0,1.0,0.3333,0.5,0.2,0.5,0.1,0.5,0.5
train_404207615,122550860,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
train_411236838,2649335607,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
train_1015862061,3687627144,1.0,1.0,1.0,1.0,0.6,0.75,0.3,0.75,0.75
train_2785578899,4172783971,1.0,1.0,1.0,1.0,0.6,1.0,0.3,1.0,1.0
train_1901526598,372328414,1.0,1.0,0.3333,0.5,0.2,0.5,0.1,0.5,0.5
train_2348197943,372328414,1.0,1.0,0.3333,0.5,0.2,0.5,0.1,0.5,0.5
train_37143550,3113678103,1.0,1.0,1.0,1.0,0.6,0.6,0.3,0.3,0.06
train_1337984987,195769780,1.0,1.0,0.3333,1.0,0.2,1.0,0.1,1.0,1.0
train_3427012881,404551210,1.0,1.0,0.3333,0.5,0.2,0.5,0.2,1.0,0.625
train_3542367375,834544767,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
train_3357525517,2573756909,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
train_747128673,1122594028,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
train_3309817101,2438732135,0.0,0.0,0.3333,0.3333,0.2,0.3333,0.1,0.3333,0.1111
train_1904388778,3375312423,1.0,1.0,0.3333,0.3333,0.2,0.2,0.1,0.2,0.2
train_1580284475,954318740,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
train_4126022211,4101248785,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
train_1124779608,1594781567,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
train_1490085416,1565883533,1.0,1.0,0.3333,1.0,0.2,1.0,0.1,1.0,1.0
train_1552141730,3293988036,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
train_1241026177,587285122,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.625,0.625
train_2792135571,2935813666,0.0,0.0,0.3333,0.3333,0.4,0.4,0.2,0.2,0.0323
train_1854838389,1262686857,1.0,1.0,0.3333,1.0,0.2,1.0,0.1,1.0,1.0
train_2408772693,1245346479,1.0,1.0,0.3333,1.0,0.2,1.0,0.1,1.0,1.0
train_2776660940,1054236580,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
train_4062659417,3941571453,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
train_2453841397,3614834240,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
train_2463688086,1550813244,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
train_3314954320,2933975634,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
train_3956856075,3807288080,1.0,1.0,0.3333,1.0,0.2,1.0,0.1,1.0,1.0
train_1343380721,2192745501,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
train_2602142606,2610277012,1.0,1.0,1.0,1.0,0.6,1.0,0.3,1.0,1.0
train_1414886454,1166650192,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.2222
train_826105344,3844282254,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
train_1920364021,756519905,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
train_544580404,1797968020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
train_3249867868,420759736,1.0,1.0,0.3333,0.3333,0.2,0.3333,0.1,0.3333,0.3333
train_468635764,420759736,1.0,1.0,0.3333,0.3333,0.2,0.3333,0.1,0.3333,0.3333
train_3436013418,3442261788,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
train_3546121241,1566483836,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
train_652437998,1587395175,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
train_4107571128,2610277012,1.0,1.0,1.0,1.0,0.6,1.0,0.3,1.0,1.0
train_2800020956,329382788,1.0,1.0,0.3333,1.0,0.2,1.0,0.1,1.0,1.0
train_3519742542,1964107584,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
train_34881320,3069776427,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
train_531698853,2753654320,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
train_1576700458,1142415381,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
train_1109787142,3708670636,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
train_1364742229,1965214387,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
train_438033632,4062076338,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
train_1133752994,2388758018,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
train_3228499978,2836108778,1.0,1.0,0.3333,1.0,0.2,1.0,0.1,1.0,1.0
train_143110760,568475868,1.0,1.0,1.0,1.0,0.6,0.6,0.3,0.4286,0.4286
train_4147489958,2380085497,1.0,1.0,1.0,1.0,0.8,0.8,0.4,0.6667,0.6667
train_4027585169,192922260,1.0,1.0,0.3333,0.5,0.2,0.5,0.1,0.5,0.5
train_3741232712,3602809108,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
train_3475298842,3619569844,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
train_2223082242,891306773,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
train_2502039152,3298480601,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
train_4090338879,3335857921,1.0,1.0,0.3333,0.3333,0.2,0.2,0.1,0.2,0.2
train_1289458574,1333574565,0.0,0.0,0.0,0.0,0.2,0.2,0.1,0.1667,0.0333
train_2129499368,4007847318,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
train_303300793,1634389569,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
train_1844656348,1809363506,1.0,1.0,1.0,1.0,1.0,1.0,0.7,0.7,0.4667
train_2304925196,4051535156,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
train_3926241003,4101248785,1.0,1.0,0.3333,0.3333,0.2,0.2,0.1,0.125,0.125
train_1420756223,646852957,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
train_1132415767,2048069671,1.0,1.0,0.3333,0.5,0.2,0.5,0.1,0.5,0.5
train_2466966966,217263041,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
train_382090267,2992055559,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
train_2926860783,3437394605,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
train_2678784958,580745263,1.0,1.0,0.3333,0.3333,0.2,0.3333,0.1,0.3333,0.3333
train_3730238611,3768186621,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
train_3223029042,1514327608,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0067
train_1360448474,3286528342,1.0,1.0,0.3333,0.3333,0.2,0.3333,0.1,0.3333,0.3333
train_1724760722,2123332638,1.0,1.0,1.0,1.0,1.0,1.0,0.8,0.8,0.3714
train_3521680760,378982106,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
train_3975028088,1166175991,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
train_1405311858,3907091402,1.0,1.0,0.3333,0.3333,0.2,0.3333,0.1,0.3333,0.3333
train_1568682908,1306578136,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
train_1816968361,2819310070,1.0,1.0,0.3333,0.3333,0.2,0.3333,0.1,0.3333,0.3333
train_2794195507,1999386573,1.0,1.0,1.0,1.0,0.6,0.6,0.3,0.375,0.375
train_1192495588,2809031353,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
train_3668574065,2828399909,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
train_3575321186,1804381656,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
train_2785137660,3714532676,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
train_105420214,2437797923,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
train_2495728489,1379107134,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
train_857974505,1423655715,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
train_2482849092,3105568663,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
train_33431845,4254526477,0.0,0.0,0.3333,1.0,0.2,1.0,0.1,1.0,0.5
train_597673068,1943235893,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
train_865472864,1621270404,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
train_2451015876,1221129663,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
train_4279989230,1036330570,1.0,1.0,1.0,1.0,0.8,0.8,0.4,0.8,0.8
train_3295271340,97020766,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
train_2542479432,1690027362,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
train_3040500929,1699836001,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0
train_1002628427,1622585957,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
train_328898393,403676653,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
train_3570047765,3455485784,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
train_92575259,2105629721,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
train_3885520318,1681362556,1.0,1.0,0.6667,1.0,0.4,1.0,0.2,1.0,1.0
train_25962614,655689466,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.7143,0.7143
train_910946536,850636010,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
train_2246118465,3890819527,1.0,1.0,0.3333,0.5,0.2,0.5,0.1,0.5,0.5
train_103880126,2798996091,1.0,1.0,0.3333,1.0,0.2,1.0,0.1,1.0,1.0
train_4198221877,2396760004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
train_2819548534,1723836743,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
train_15903104,2398901595,1.0,1.0,0.3333,0.3333,0.2,0.25,0.1,0.25,0.25
train_362460938,1267979294,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
train_1192670857,3206118280,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.2083
train_1313761395,2837888168,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
train_1680128704,3362885279,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
train_2401493960,485086339,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
train_2698916323,3346361757,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
train_4000911558,4070348305,1.0,1.0,0.6667,0.6667,0.4,0.6667,0.2,0.6667,0.6667
train_4231036206,4070348305,1.0,1.0,0.6667,0.6667,0.4,0.6667,0.2,0.6667,0.6667
train_3495901022,4070348305,1.0,1.0,0.6667,0.6667,0.4,0.6667,0.2,0.6667,0.6667
train_2475532099,3254572445,1.0,1.0,0.3333,1.0,0.2,1.0,0.1,1.0,1.0
train_4097891374,213671806,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
train_2885845594,1778408420,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
train_2328264860,2269502085,1.0,1.0,0.3333,0.3333,0.2,0.2,0.1,0.1667,0.1667
train_2117155561,2378468247,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
train_3219378211,3048199336,1.0,1.0,0.6667,1.0,0.4,1.0,0.2,1.0,1.0
train_315847490,3048199336,1.0,1.0,0.6667,1.0,0.4,1.0,0.2,1.0,1.0
train_621261825,3893786536,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
train_920654896,21546494,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
train_3397724867,2214640257,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
train_465895886,3040690230,1.0,1.0,1.0,1.0,1.0,1.0,0.9,0.9,0.4091
train_1553293204,814083644,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
train_3951567071,1598377797,1.0,1.0,0.6667,1.0,0.4,1.0,0.2,1.0,1.0
train_3320345500,3090357920,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
train_3432779569,2175364535,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
train_1264568510,3951296682,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
train_1341388284,1533571561,1.0,1.0,0.3333,1.0,0.2,1.0,0.1,1.0,1.0
train_2714701874,2815713308,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
train_3647647135,3395604817,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
train_2223127215,3030935442,0.0,0.0,0.0,0.0,0.2,0.5,0.1,0.5,0.1
train_4035822411,272107103,1.0,1.0,0.3333,1.0,0.2,1.0,0.1,1.0,1.0
train_2509263829,3827380463,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
train_1445799213,3398918370,1.0,1.0,0.3333,1.0,0.2,1.0,0.1,1.0,1.0
train_4223940416,2345549492,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
train_249911810,938708654,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
train_199884151,523074739,1.0,1.0,1.0,1.0,0.8,1.0,0.4,1.0,1.0
train_1631219749,690243940,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
train_2613418854,1632207687,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
train_2145162288,2001682044,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
train_2281993276,1266424550,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
train_239626874,2291561916,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
train_4129383326,597664253,1.0,1.0,0.3333,1.0,0.2,1.0,0.1,1.0,1.0
train_3417776213,1478312373,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
train_3752166781,1961901267,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
train_1412838269,3360770165,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
train_4000638715,3490596311,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
train_2581150275,589527511,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
train_3484834556,2249427966,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
train_3614220053,2493236254,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
train_925544261,731330024,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.2941
train_3270819794,2186896696,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
train_3697728683,1284560630,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
train_1251926547,562358068,1.0,1.0,0.6667,0.6667,0.4,0.4,0.2,0.2,0.04
train_671452520,2747810392,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
train_2387729813,2843930935,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
train_552274453,3171928665,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
train_1628401985,2423781234,1.0,1.0,0.3333,0.3333,0.2,0.3333,0.1,0.3333,0.3333
train_1760487371,2597046568,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
train_3754566983,3662533242,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
train_3832763308,2062873426,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
train_658533661,3251503852,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
train_3444739286,3189150243,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
train_2533970465,4143106238,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
train_2079914437,2851736126,1.0,1.0,0.3333,1.0,0.2,1.0,0.1,1.0,1.0
