row_id,image,image_path,crop_path,true_label,x1,y1,x2,y2,yolo_label,yolo_class_id,yolo_conf,det_score,used_fallback_full_image,num_detections
26,f01d17670f214103d61436c62d12eed0.jpg,E:\study\DoAnPython\project\data\raw\train_images\f01d17670f214103d61436c62d12eed0.jpg,..\data\processed\yolo_sahi_crop_classifier\crops\000026_f01d17670f214103d61436c62d12eed0.jpg,3351860123,0,652,526,930,dining table,60,0.4828409254550934,0.1695246408372554,False,1
27,2e74d8896c45af32ac6d8b83ec24ac14.jpg,E:\study\DoAnPython\project\data\raw\train_images\2e74d8896c45af32ac6d8b83ec24ac14.jpg,..\data\processed\yolo_sahi_crop_classifier\crops\000027_2e74d8896c45af32ac6d8b83ec24ac14.jpg,3900306665,412,339,565,510,cell phone,67,0.6207412481307983,0.14625045033373443,False,3
28,fd68da190e8739150321d72eeab52c0d.jpg,E:\study\DoAnPython\project\data\raw\train_images\fd68da190e8739150321d72eeab52c0d.jpg,..\data\processed\yolo_sahi_crop_classifier\crops\000028_fd68da190e8739150321d72eeab52c0d.jpg,763032672,131,441,201,518,donut,54,0.6662801504135132,0.07226205350477372,False,13
29,15ca614ad7429f0ae25ddc29476e7b62.jpg,E:\study\DoAnPython\project\data\raw\train_images\15ca614ad7429f0ae25ddc29476e7b62.jpg,..\data\processed\yolo_sahi_crop_classifier\crops\000029_15ca614ad7429f0ae25ddc29476e7b62.jpg,821474700,73,156,918,879,vase,75,0.35212084650993347,0.2492492853184898,False,4
30,ccfaed628660a3d47eb123c726c6b454.jpg,E:\study\DoAnPython\project\data\raw\train_images\ccfaed628660a3d47eb123c726c6b454.jpg,..\data\processed\yolo_sahi_crop_classifier\crops\000030_ccfaed628660a3d47eb123c726c6b454.jpg,2729238489,122,0,352,464,bottle,39,0.7880731225013733,0.37612887353825764,False,7
31,f384dcc620a16aa71a677623ac0712ce.jpg,E:\study\DoAnPython\project\data\raw\train_images\f384dcc620a16aa71a677623ac0712ce.jpg,..\data\processed\yolo_sahi_crop_classifier\crops\000031_f384dcc620a16aa71a677623ac0712ce.jpg,3476168339,141,370,324,811,cup,41,0.4443763494491577,0.14057379475697332,False,1
32,96efe1492702c15c3896a69655b727b2.jpg,E:\study\DoAnPython\project\data\raw\train_images\96efe1492702c15c3896a69655b727b2.jpg,..\data\processed\yolo_sahi_crop_classifier\crops\000032_96efe1492702c15c3896a69655b727b2.jpg,2660884517,166,56,463,640,parking meter,12,0.7111077308654785,0.4348599090125656,False,3
33,65cac3e71bce8423dda6b986976d7a05.jpg,E:\study\DoAnPython\project\data\raw\train_images\65cac3e71bce8423dda6b986976d7a05.jpg,..\data\processed\yolo_sahi_crop_classifier\crops\000033_65cac3e71bce8423dda6b986976d7a05.jpg,66247839,502,495,1024,1024,person,0,0.8813403248786926,0.4260350584271582,False,9
34,9f93a62f2c7670be61123941f7ca3406.jpg,E:\study\DoAnPython\project\data\raw\train_images\9f93a62f2c7670be61123941f7ca3406.jpg,..\data\processed\yolo_sahi_crop_classifier\crops\000034_9f93a62f2c7670be61123941f7ca3406.jpg,1664178674,34,160,921,835,skateboard,36,0.3754933178424835,0.2693035876636316,False,10
35,1dcf39a37600e12103bf620896a047b7.jpg,E:\study\DoAnPython\project\data\raw\train_images\1dcf39a37600e12103bf620896a047b7.jpg,..\data\processed\yolo_sahi_crop_classifier\crops\000035_1dcf39a37600e12103bf620896a047b7.jpg,1656690632,121,479,388,597,person,0,0.46445226669311523,0.12010390522210428,False,8
36,e9ca162eed32a7035a850afaa3fe1285.jpg,E:\study\DoAnPython\project\data\raw\train_images\e9ca162eed32a7035a850afaa3fe1285.jpg,..\data\processed\yolo_sahi_crop_classifier\crops\000036_e9ca162eed32a7035a850afaa3fe1285.jpg,3291614016,0,0,640,640,person,0,0.781498908996582,0.7704935990761346,False,2
37,7d01309d92f71eb76520fb985f02f16a.jpg,E:\study\DoAnPython\project\data\raw\train_images\7d01309d92f71eb76520fb985f02f16a.jpg,..\data\processed\yolo_sahi_crop_classifier\crops\000037_7d01309d92f71eb76520fb985f02f16a.jpg,1983510531,367,227,517,667,book,73,0.5566055178642273,0.19003936331109111,False,1
38,16baee314d0e7dbbb0853e38f6eae775.jpg,E:\study\DoAnPython\project\data\raw\train_images\16baee314d0e7dbbb0853e38f6eae775.jpg,..\data\processed\yolo_sahi_crop_classifier\crops\000038_16baee314d0e7dbbb0853e38f6eae775.jpg,1203796264,3,80,311,640,book,73,0.41143715381622314,0.36018464668619543,False,1
39,cb6466737a499eca3fd12ac54012e584.jpg,E:\study\DoAnPython\project\data\raw\train_images\cb6466737a499eca3fd12ac54012e584.jpg,..\data\processed\yolo_sahi_crop_classifier\crops\000039_cb6466737a499eca3fd12ac54012e584.jpg,2836585852,165,173,872,861,clock,74,0.7434329390525818,0.4693240741234128,False,3
40,c51627aa04cfc6c8044f0bdc719edaab.jpg,E:\study\DoAnPython\project\data\raw\train_images\c51627aa04cfc6c8044f0bdc719edaab.jpg,..\data\processed\yolo_sahi_crop_classifier\crops\000040_c51627aa04cfc6c8044f0bdc719edaab.jpg,3860230479,222,36,397,515,bottle,39,0.7638630867004395,0.3214469853798,False,1
41,4d75ec0831cf709eeb019eff391f27c5.jpg,E:\study\DoAnPython\project\data\raw\train_images\4d75ec0831cf709eeb019eff391f27c5.jpg,..\data\processed\yolo_sahi_crop_classifier\crops\000041_4d75ec0831cf709eeb019eff391f27c5.jpg,1562389066,276,166,632,524,traffic light,9,0.4694361388683319,0.19422831605720653,False,4
42,94852c92ff2030e13374ef240b2080d4.jpg,E:\study\DoAnPython\project\data\raw\train_images\94852c92ff2030e13374ef240b2080d4.jpg,..\data\processed\yolo_sahi_crop_classifier\crops\000042_94852c92ff2030e13374ef240b2080d4.jpg,4218699672,468,19,789,211,person,0,0.8809034824371338,0.25402937236197215,False,8
43,9f8ae2d07af13572d7d64aa93fab1def.jpg,E:\study\DoAnPython\project\data\raw\train_images\9f8ae2d07af13572d7d64aa93fab1def.jpg,..\data\processed\yolo_sahi_crop_classifier\crops\000043_9f8ae2d07af13572d7d64aa93fab1def.jpg,3582590696,321,250,626,440,vase,75,0.40398725867271423,0.14087607588790052,False,4
44,785846bae09c8f0c438610a3db9d84c8.jpg,E:\study\DoAnPython\project\data\raw\train_images\785846bae09c8f0c438610a3db9d84c8.jpg,..\data\processed\yolo_sahi_crop_classifier\crops\000044_785846bae09c8f0c438610a3db9d84c8.jpg,2245243745,0,269,528,800,dining table,60,0.2914206087589264,0.18505065239982169,False,5
45,7f49fa5adc62ed1149b5ced92cdf900f.jpg,E:\study\DoAnPython\project\data\raw\train_images\7f49fa5adc62ed1149b5ced92cdf900f.jpg,..\data\processed\yolo_sahi_crop_classifier\crops\000045_7f49fa5adc62ed1149b5ced92cdf900f.jpg,1295587510,100,113,267,751,toothbrush,79,0.6237786412239075,0.23043229757598666,False,17
46,8166efeb8fb1b82ad8ede32b5d0b5302.jpg,E:\study\DoAnPython\project\data\raw\train_images\8166efeb8fb1b82ad8ede32b5d0b5302.jpg,..\data\processed\yolo_sahi_crop_classifier\crops\000046_8166efeb8fb1b82ad8ede32b5d0b5302.jpg,4166375360,101,4,152,310,toothbrush,79,0.4825696051120758,0.17789641487874036,False,1
47,da31b4ae9c80d0e0032b7b771627dd95.jpg,E:\study\DoAnPython\project\data\raw\train_images\da31b4ae9c80d0e0032b7b771627dd95.jpg,..\data\processed\yolo_sahi_crop_classifier\crops\000047_da31b4ae9c80d0e0032b7b771627dd95.jpg,3351318599,34,116,585,889,book,73,0.31421616673469543,0.18573707305698808,False,4
48,8c81fc7f390b2830d926c885f1cfc850.jpg,E:\study\DoAnPython\project\data\raw\train_images\8c81fc7f390b2830d926c885f1cfc850.jpg,..\data\processed\yolo_sahi_crop_classifier\crops\000048_8c81fc7f390b2830d926c885f1cfc850.jpg,51422340,0,0,1024,1024,person,0,0.8715071082115173,0.8468189116697475,False,11
49,e1a5f03b7588d013daccce3cc6f33c99.jpg,E:\study\DoAnPython\project\data\raw\train_images\e1a5f03b7588d013daccce3cc6f33c99.jpg,..\data\processed\yolo_sahi_crop_classifier\crops\000049_e1a5f03b7588d013daccce3cc6f33c99.jpg,2699450457,311,404,582,545,knife,43,0.7451108694076538,0.21111224948831833,False,7
50,ad5c3757fb4f14e2fb5437654c3a6754.jpg,E:\study\DoAnPython\project\data\raw\train_images\ad5c3757fb4f14e2fb5437654c3a6754.jpg,..\data\processed\yolo_sahi_crop_classifier\crops\000050_ad5c3757fb4f14e2fb5437654c3a6754.jpg,2001682044,229,10,318,164,person,0,0.6141119003295898,0.20980596292930545,False,3
51,c54f8afe36601d12c4c703ea33d45c19.jpg,E:\study\DoAnPython\project\data\raw\train_images\c54f8afe36601d12c4c703ea33d45c19.jpg,..\data\processed\yolo_sahi_crop_classifier\crops\000051_c54f8afe36601d12c4c703ea33d45c19.jpg,1285119273,299,395,520,815,stop sign,11,0.25424978137016296,0.07020529451004938,False,1
52,32352fa92cf5f92a4d1b70623194f453.jpg,E:\study\DoAnPython\project\data\raw\train_images\32352fa92cf5f92a4d1b70623194f453.jpg,..\data\processed\yolo_sahi_crop_classifier\crops\000052_32352fa92cf5f92a4d1b70623194f453.jpg,159351600,280,277,506,521,remote,65,0.46026331186294556,0.12533727204704548,False,4
53,88cbf93df86267d28cfc77d2a7f9bcbc.jpg,E:\study\DoAnPython\project\data\raw\train_images\88cbf93df86267d28cfc77d2a7f9bcbc.jpg,..\data\processed\yolo_sahi_crop_classifier\crops\000053_88cbf93df86267d28cfc77d2a7f9bcbc.jpg,765989615,0,509,529,881,kite,33,0.803520917892456,0.3273552214050892,False,7
54,84d023abf8e6afb503943fda2b9d7289.jpg,E:\study\DoAnPython\project\data\raw\train_images\84d023abf8e6afb503943fda2b9d7289.jpg,..\data\processed\yolo_sahi_crop_classifier\crops\000054_84d023abf8e6afb503943fda2b9d7289.jpg,954571849,238,192,469,670,bottle,39,0.730980396270752,0.31367791936397066,False,1
55,ed44a3b145e4cc50229522e15b5323af.jpg,E:\study\DoAnPython\project\data\raw\train_images\ed44a3b145e4cc50229522e15b5323af.jpg,..\data\processed\yolo_sahi_crop_classifier\crops\000055_ed44a3b145e4cc50229522e15b5323af.jpg,2304809467,118,7,768,1024,person,0,0.900593638420105,0.6741430672866939,False,8
56,885bd4ff28cf07452fd71c8991ac93e1.jpg,E:\study\DoAnPython\project\data\raw\train_images\885bd4ff28cf07452fd71c8991ac93e1.jpg,..\data\processed\yolo_sahi_crop_classifier\crops\000056_885bd4ff28cf07452fd71c8991ac93e1.jpg,1268201436,165,37,241,101,traffic light,9,0.44469502568244934,0.07199098426895074,False,1
57,a4091f3f3457d24645b4c9554bc94b35.jpg,E:\study\DoAnPython\project\data\raw\train_images\a4091f3f3457d24645b4c9554bc94b35.jpg,..\data\processed\yolo_sahi_crop_classifier\crops\000057_a4091f3f3457d24645b4c9554bc94b35.jpg,1488491114,273,185,521,514,cell phone,67,0.7931030988693237,0.205136777000053,False,8
58,0787717493312f42d46b0846ae218c6c.jpg,E:\study\DoAnPython\project\data\raw\train_images\0787717493312f42d46b0846ae218c6c.jpg,..\data\processed\yolo_sahi_crop_classifier\crops\000058_0787717493312f42d46b0846ae218c6c.jpg,2020816824,0,0,640,640,full_image,-1,0.0,0.0,True,0
59,54e371609ab8ba383353ffe4302c8eab.jpg,E:\study\DoAnPython\project\data\raw\train_images\54e371609ab8ba383353ffe4302c8eab.jpg,..\data\processed\yolo_sahi_crop_classifier\crops\000059_54e371609ab8ba383353ffe4302c8eab.jpg,4286477246,421,499,600,865,cup,41,0.3396106958389282,0.07902765533651179,False,2
60,08b688dee042bd64067f2f6748097478.jpg,E:\study\DoAnPython\project\data\raw\train_images\08b688dee042bd64067f2f6748097478.jpg,..\data\processed\yolo_sahi_crop_classifier\crops\000060_08b688dee042bd64067f2f6748097478.jpg,3211692097,807,727,956,877,clock,74,0.7475554943084717,0.10183918125125681,False,2
61,21c5aa2babff1029f06bd89d01214f95.jpg,E:\study\DoAnPython\project\data\raw\train_images\21c5aa2babff1029f06bd89d01214f95.jpg,..\data\processed\yolo_sahi_crop_classifier\crops\000061_21c5aa2babff1029f06bd89d01214f95.jpg,1306578136,119,33,561,526,vase,75,0.41182562708854675,0.27853733935847935,False,1
62,0b092371f3b7165c86374527436b33a4.jpg,E:\study\DoAnPython\project\data\raw\train_images\0b092371f3b7165c86374527436b33a4.jpg,..\data\processed\yolo_sahi_crop_classifier\crops\000062_0b092371f3b7165c86374527436b33a4.jpg,1449779365,25,98,643,816,toilet,61,0.5450901389122009,0.3291254224325097,False,6
63,10502d58f149a75a9a800e5778fc8e20.jpg,E:\study\DoAnPython\project\data\raw\train_images\10502d58f149a75a9a800e5778fc8e20.jpg,..\data\processed\yolo_sahi_crop_classifier\crops\000063_10502d58f149a75a9a800e5778fc8e20.jpg,685296764,35,152,530,524,car,2,0.3496781289577484,0.19907412789133686,False,5
64,b9ad9d8d7e1c0a3a080d5da296e8b702.jpg,E:\study\DoAnPython\project\data\raw\train_images\b9ad9d8d7e1c0a3a080d5da296e8b702.jpg,..\data\processed\yolo_sahi_crop_classifier\crops\000064_b9ad9d8d7e1c0a3a080d5da296e8b702.jpg,3105935071,37,41,530,404,book,73,0.3165575861930847,0.12131816130438366,False,7
65,a54e3da529af6eb4b7c0ed73b5d06c1d.jpg,E:\study\DoAnPython\project\data\raw\train_images\a54e3da529af6eb4b7c0ed73b5d06c1d.jpg,..\data\processed\yolo_sahi_crop_classifier\crops\000065_a54e3da529af6eb4b7c0ed73b5d06c1d.jpg,739195247,0,0,640,640,full_image,-1,0.0,0.0,True,0
66,a0bf16eb049d1227c87777ab7d4fb3c8.jpg,E:\study\DoAnPython\project\data\raw\train_images\a0bf16eb049d1227c87777ab7d4fb3c8.jpg,..\data\processed\yolo_sahi_crop_classifier\crops\000066_a0bf16eb049d1227c87777ab7d4fb3c8.jpg,111019786,8,154,529,640,person,0,0.25312525033950806,0.18459389445801222,False,6
67,cbdcc5d87e5e5910c4221cd860428ce1.jpg,E:\study\DoAnPython\project\data\raw\train_images\cbdcc5d87e5e5910c4221cd860428ce1.jpg,..\data\processed\yolo_sahi_crop_classifier\crops\000067_cbdcc5d87e5e5910c4221cd860428ce1.jpg,2824936287,0,0,640,640,full_image,-1,0.0,0.0,True,0
68,47bcede493a55875b4cf76fe02a0e9e9.jpg,E:\study\DoAnPython\project\data\raw\train_images\47bcede493a55875b4cf76fe02a0e9e9.jpg,..\data\processed\yolo_sahi_crop_classifier\crops\000068_47bcede493a55875b4cf76fe02a0e9e9.jpg,4071254572,195,195,322,523,book,73,0.5477683544158936,0.16278981782920465,False,5
69,a5aaf60a866e95b13b2acf489120288f.jpg,E:\study\DoAnPython\project\data\raw\train_images\a5aaf60a866e95b13b2acf489120288f.jpg,..\data\processed\yolo_sahi_crop_classifier\crops\000069_a5aaf60a866e95b13b2acf489120288f.jpg,3900306665,412,339,565,510,cell phone,67,0.4338894188404083,0.10222701180489445,False,3
70,a1e09c7337cf9e881f3ac07088fd39f3.jpg,E:\study\DoAnPython\project\data\raw\train_images\a1e09c7337cf9e881f3ac07088fd39f3.jpg,..\data\processed\yolo_sahi_crop_classifier\crops\000070_a1e09c7337cf9e881f3ac07088fd39f3.jpg,3040690230,336,262,462,606,remote,65,0.39550191164016724,0.10979094919494631,False,3
71,50d99026b350774cc031d3dcf9b35d94.jpg,E:\study\DoAnPython\project\data\raw\train_images\50d99026b350774cc031d3dcf9b35d94.jpg,..\data\processed\yolo_sahi_crop_classifier\crops\000071_50d99026b350774cc031d3dcf9b35d94.jpg,2628362562,511,36,991,528,person,0,0.8959065079689026,0.39455957345633863,False,17
72,ad51bf639108fec708a818e1a77b3f05.jpg,E:\study\DoAnPython\project\data\raw\train_images\ad51bf639108fec708a818e1a77b3f05.jpg,..\data\processed\yolo_sahi_crop_classifier\crops\000072_ad51bf639108fec708a818e1a77b3f05.jpg,3351968689,34,277,529,612,baseball glove,35,0.5765501260757446,0.2722912099335542,False,2
73,7ddaf0f8805077614708d10467fa8ded.jpg,E:\study\DoAnPython\project\data\raw\train_images\7ddaf0f8805077614708d10467fa8ded.jpg,..\data\processed\yolo_sahi_crop_classifier\crops\000073_7ddaf0f8805077614708d10467fa8ded.jpg,1091404026,294,282,474,714,tie,27,0.3482469618320465,0.11145176585885591,False,3
74,c4168e2b8588c0e0564596aa31f24fd6.jpg,E:\study\DoAnPython\project\data\raw\train_images\c4168e2b8588c0e0564596aa31f24fd6.jpg,..\data\processed\yolo_sahi_crop_classifier\crops\000074_c4168e2b8588c0e0564596aa31f24fd6.jpg,3281617558,0,124,520,524,surfboard,37,0.4379744231700897,0.2951380798375742,False,2
75,c8134de8c00cc4657f41eab30be471e3.jpg,E:\study\DoAnPython\project\data\raw\train_images\c8134de8c00cc4657f41eab30be471e3.jpg,..\data\processed\yolo_sahi_crop_classifier\crops\000075_c8134de8c00cc4657f41eab30be471e3.jpg,3332994000,0,2,529,528,person,0,0.7843648791313171,0.5551546769198198,False,5
76,a26087b2d22b2bf9a9d928ff372f28c6.jpg,E:\study\DoAnPython\project\data\raw\train_images\a26087b2d22b2bf9a9d928ff372f28c6.jpg,..\data\processed\yolo_sahi_crop_classifier\crops\000076_a26087b2d22b2bf9a9d928ff372f28c6.jpg,3283659902,24,395,492,838,stop sign,11,0.7659156322479248,0.3158979099799712,False,3
77,e439765b93c38fd4e095558bd682cf14.jpg,E:\study\DoAnPython\project\data\raw\train_images\e439765b93c38fd4e095558bd682cf14.jpg,..\data\processed\yolo_sahi_crop_classifier\crops\000077_e439765b93c38fd4e095558bd682cf14.jpg,1111259106,195,190,311,320,person,0,0.28689032793045044,0.051455016999128744,False,3
78,acc9193df037d9b5283225143a7ea2cb.jpg,E:\study\DoAnPython\project\data\raw\train_images\acc9193df037d9b5283225143a7ea2cb.jpg,..\data\processed\yolo_sahi_crop_classifier\crops\000078_acc9193df037d9b5283225143a7ea2cb.jpg,673158714,109,0,640,531,person,0,0.9004156589508057,0.7182218334693311,False,4
79,f9187d244f7c10787a4d000c905fab6c.jpg,E:\study\DoAnPython\project\data\raw\train_images\f9187d244f7c10787a4d000c905fab6c.jpg,..\data\processed\yolo_sahi_crop_classifier\crops\000079_f9187d244f7c10787a4d000c905fab6c.jpg,2101072117,72,392,528,920,refrigerator,72,0.33560532331466675,0.15266591594949497,False,5
80,553d7f7cdd0e0f4cf9f485468fc331b6.jpg,E:\study\DoAnPython\project\data\raw\train_images\553d7f7cdd0e0f4cf9f485468fc331b6.jpg,..\data\processed\yolo_sahi_crop_classifier\crops\000080_553d7f7cdd0e0f4cf9f485468fc331b6.jpg,234541980,0,339,260,677,cup,41,0.8639146089553833,0.2363772576282736,False,13
